username,mal_id,score
-Envy-,1554,8
-Envy-,5168,6
-Envy-,6166,7
-Envy-,9736,7
-Envy-,10582,6
-Envy-,4999,8
-Envy-,5342,8
-Envy-,6676,8
-Envy-,8778,5
-Envy-,3166,7
-Envy-,586,8
-Envy-,104,8
-Envy-,66,8
-Envy-,7817,7
-Envy-,8516,7
-Envy-,9471,6
-Envy-,7674,8
-Envy-,9857,7
-Envy-,9858,7
-Envy-,11017,8
-Envy-,9513,8
-Envy-,9120,7
-Envy-,368,7
-Envy-,972,7
-Envy-,2873,6
-Envy-,5347,6
-Envy-,1401,7
-Envy-,13223,6
-Envy-,5624,7
-Envy-,3446,7
-Envy-,5469,7
-Envy-,68,7
-Envy-,889,8
-Envy-,8440,8
-Envy-,4901,9
-Envy-,7059,6
-Envy-,11285,6
-Envy-,269,6
-Envy-,1686,7
-Envy-,2889,7
-Envy-,4835,7
-Envy-,8247,7
-Envy-,762,8
-Envy-,834,6
-Envy-,2349,7
-Envy-,14345,8
-Envy-,12293,7
-Envy-,5356,8
-Envy-,2116,8
-Envy-,9539,8
-Envy-,8628,6
-Envy-,4717,8
-Envy-,753,8
-Envy-,596,7
-Envy-,2341,8
-Envy-,2360,7
-Envy-,2345,7
-Envy-,2359,7
-Envy-,2344,7
-Envy-,2343,8
-Envy-,1890,6
-Envy-,8888,5
-Envy-,1575,10
-Envy-,12685,4
-Envy-,2904,9
-Envy-,11703,7
-Envy-,289,8
-Envy-,5147,5
-Envy-,1512,7
-Envy-,1,8
-Envy-,5,8
-Envy-,6747,8
-Envy-,16592,7
-Envy-,2025,9
-Envy-,4182,7
-Envy-,7338,7
-Envy-,6573,8
-Envy-,10780,6
-Envy-,6880,7
-Envy-,10418,6
-Envy-,14353,7
-Envy-,1535,9
-Envy-,13837,6
-Envy-,5348,8
-Envy-,6231,6
-Envy-,8331,7
-Envy-,10531,8
-Envy-,779,8
-Envy-,780,8
-Envy-,781,9
-Envy-,1363,8
-Envy-,1364,8
-Envy-,1365,7
-Envy-,1366,9
-Envy-,1367,7
-Envy-,1505,8
-Envy-,1506,8
-Envy-,2171,7
-Envy-,4447,7
-Envy-,5460,8
-Envy-,6467,8
-Envy-,9963,9
-Envy-,12117,8
-Envy-,14735,8
-Envy-,1369,7
-Envy-,2512,6
-Envy-,2513,6
-Envy-,2514,9
-Envy-,2515,7
-Envy-,1368,8
-Envy-,2597,6
-Envy-,6198,6
-Envy-,6438,7
-Envy-,8609,8
-Envy-,10703,8
-Envy-,13839,6
-Envy-,10766,7
-Envy-,874,7
-Envy-,223,8
-Envy-,813,9
-Envy-,894,8
-Envy-,895,7
-Envy-,896,9
-Envy-,897,7
-Envy-,898,9
-Envy-,899,9
-Envy-,900,7
-Envy-,901,8
-Envy-,902,7
-Envy-,903,7
-Envy-,904,8
-Envy-,905,7
-Envy-,906,8
-Envy-,986,7
-Envy-,985,7
-Envy-,6746,9
-Envy-,8408,7
-Envy-,2372,8
-Ricochet-,7647,8
-Ricochet-,7674,8
-Ricochet-,11691,6
-Ricochet-,11679,6
-Ricochet-,1535,9
-Ricochet-,894,6
-Ricochet-,895,6
-Ricochet-,896,6
-Ricochet-,897,6
-Ricochet-,898,8
-Ricochet-,899,8
-Ricochet-,905,7
-Ricochet-,12231,8
-Ricochet-,5152,8
-Ricochet-,263,9
-Ricochet-,12069,9
-Ricochet-,264,9
-Ricochet-,265,8
-Ricochet-,5258,9
-Ricochet-,8525,8
-Ricochet-,10080,8
-Ricochet-,9675,7
-Ricochet-,11583,6
-Ricochet-,11507,6
-Ricochet-,6172,9
-Ricochet-,9834,8
-Ricochet-,1122,6
-Ricochet-,550,8
-ThatSenseiGuy,873,4
-ThatSenseiGuy,31646,9
-ThatSenseiGuy,35180,9
-ThatSenseiGuy,36904,6
-ThatSenseiGuy,31580,5
-ThatSenseiGuy,47,8
-ThatSenseiGuy,32828,4
-ThatSenseiGuy,8676,5
-ThatSenseiGuy,22147,6
-ThatSenseiGuy,30206,6
-ThatSenseiGuy,6547,7
-ThatSenseiGuy,11111,3
-ThatSenseiGuy,1051,7
-ThatSenseiGuy,9919,7
-ThatSenseiGuy,7193,9
-ThatSenseiGuy,2251,8
-ThatSenseiGuy,6347,4
-ThatSenseiGuy,5081,7
-ThatSenseiGuy,1468,1
-ThatSenseiGuy,31904,3
-ThatSenseiGuy,889,8
-ThatSenseiGuy,8440,7
-ThatSenseiGuy,4901,8
-ThatSenseiGuy,1519,8
-ThatSenseiGuy,1050,8
-ThatSenseiGuy,31043,5
-ThatSenseiGuy,31964,8
-ThatSenseiGuy,33486,8
-ThatSenseiGuy,36456,8
-ThatSenseiGuy,10719,3
-ThatSenseiGuy,14967,3
-ThatSenseiGuy,28755,5
-ThatSenseiGuy,32365,5
-ThatSenseiGuy,14345,3
-ThatSenseiGuy,1689,6
-ThatSenseiGuy,4981,8
-ThatSenseiGuy,28999,5
-ThatSenseiGuy,59,3
-ThatSenseiGuy,4186,3
-ThatSenseiGuy,14741,4
-ThatSenseiGuy,18671,3
-ThatSenseiGuy,4181,6
-ThatSenseiGuy,1575,8
-ThatSenseiGuy,2904,7
-ThatSenseiGuy,1,9
-ThatSenseiGuy,5,9
-ThatSenseiGuy,11843,6
-ThatSenseiGuy,2025,7
-ThatSenseiGuy,7338,5
-ThatSenseiGuy,6573,5
-ThatSenseiGuy,35849,7
-ThatSenseiGuy,6880,6
-ThatSenseiGuy,34497,3
-ThatSenseiGuy,1535,7
-ThatSenseiGuy,28223,6
-ThatSenseiGuy,24031,4
-ThatSenseiGuy,9379,4
-ThatSenseiGuy,10638,4
-ThatSenseiGuy,35120,8
-ThatSenseiGuy,31163,6
-ThatSenseiGuy,223,7
-ThatSenseiGuy,225,4
-ThatSenseiGuy,30694,5
-ThatSenseiGuy,36946,5
-ThatSenseiGuy,813,6
-ThatSenseiGuy,894,6
-ThatSenseiGuy,895,4
-ThatSenseiGuy,896,5
-ThatSenseiGuy,897,2
-ThatSenseiGuy,14837,5
-ThatSenseiGuy,25389,6
-ThatSenseiGuy,28121,4
-ThatSenseiGuy,226,3
-ThatSenseiGuy,32901,3
-ThatSenseiGuy,12471,5
-ThatSenseiGuy,2759,8
-ThatSenseiGuy,3784,8
-ThatSenseiGuy,3785,7
-ThatSenseiGuy,121,7
-ThatSenseiGuy,5114,9
-ThatSenseiGuy,35222,5
-ThatSenseiGuy,34280,4
-ThatSenseiGuy,28907,5
-ThatSenseiGuy,31637,3
-ThatSenseiGuy,37349,6
-ThatSenseiGuy,36028,8
-ThatSenseiGuy,37989,8
-ThatSenseiGuy,17729,4
-ThatSenseiGuy,10793,3
-ThatSenseiGuy,1824,10
-ThatSenseiGuy,31859,4
-ThatSenseiGuy,21855,7
-ThatSenseiGuy,21877,6
-ThatSenseiGuy,8074,2
-ThatSenseiGuy,9515,1
-ThatSenseiGuy,28825,3
-ThatSenseiGuy,36296,7
-ThatSenseiGuy,20853,4
-ThatSenseiGuy,24231,4
-ThatSenseiGuy,256,6
-ThatSenseiGuy,578,9
-ThatSenseiGuy,10408,6
-ThatSenseiGuy,11061,8
-ThatSenseiGuy,13271,4
-ThatSenseiGuy,19951,6
-ThatSenseiGuy,35413,5
-ThatSenseiGuy,15059,7
-ThatSenseiGuy,22507,7
-ThatSenseiGuy,185,7
-ThatSenseiGuy,18,7
-ThatSenseiGuy,186,7
-ThatSenseiGuy,187,7
-ThatSenseiGuy,37210,3
-ThatSenseiGuy,35203,2
-ThatSenseiGuy,14719,9
-ThatSenseiGuy,31933,7
-ThatSenseiGuy,20899,8
-ThatSenseiGuy,26055,8
-ThatSenseiGuy,14467,5
-ThatSenseiGuy,8525,6
-ThatSenseiGuy,10080,5
-ThatSenseiGuy,35860,6
-ThatSenseiGuy,6594,8
-ThatSenseiGuy,1691,3
-ThatSenseiGuy,24439,7
-ThatSenseiGuy,34451,7
-ThatSenseiGuy,18679,8
-ThatSenseiGuy,34964,3
-ThatSenseiGuy,22535,6
-ThatSenseiGuy,31798,6
-ThatSenseiGuy,9260,9
-ThatSenseiGuy,31757,9
-ThatSenseiGuy,31758,9
-ThatSenseiGuy,28851,9
-ThatSenseiGuy,34984,7
-ThatSenseiGuy,30831,6
-ThatSenseiGuy,32937,6
-ThatSenseiGuy,15379,2
-ThatSenseiGuy,237,8
-ThatSenseiGuy,32268,7
-ThatSenseiGuy,33489,8
-ThatSenseiGuy,17265,6
-ThatSenseiGuy,23321,5
-ThatSenseiGuy,34599,9
-ThatSenseiGuy,18115,7
-ThatSenseiGuy,9756,8
-ThatSenseiGuy,20785,3
-ThatSenseiGuy,35062,7
-ThatSenseiGuy,32438,3
-ThatSenseiGuy,20541,4
-ThatSenseiGuy,10620,5
-ThatSenseiGuy,32182,8
-ThatSenseiGuy,17074,8
-ThatSenseiGuy,457,7
-ThatSenseiGuy,16910,4
-ThatSenseiGuy,20,5
-ThatSenseiGuy,442,4
-ThatSenseiGuy,936,3
-ThatSenseiGuy,2144,3
-ThatSenseiGuy,10686,4
-ThatSenseiGuy,1735,7
-ThatSenseiGuy,597,6
-ThatSenseiGuy,15689,7
-ThatSenseiGuy,30,8
-ThatSenseiGuy,32,6
-ThatSenseiGuy,36038,6
-ThatSenseiGuy,31404,4
-ThatSenseiGuy,1210,7
-ThatSenseiGuy,10165,8
-ThatSenseiGuy,11597,6
-ThatSenseiGuy,19815,6
-ThatSenseiGuy,33674,6
-ThatSenseiGuy,20507,7
-ThatSenseiGuy,30503,7
-ThatSenseiGuy,30276,8
-ThatSenseiGuy,31772,8
-ThatSenseiGuy,31704,8
-ThatSenseiGuy,12355,7
-ThatSenseiGuy,2966,8
-ThatSenseiGuy,5341,8
-ThatSenseiGuy,8769,4
-ThatSenseiGuy,13659,3
-ThatSenseiGuy,31174,8
-ThatSenseiGuy,35067,7
-ThatSenseiGuy,29803,4
-ThatSenseiGuy,35073,5
-ThatSenseiGuy,37675,5
-ThatSenseiGuy,31181,8
-ThatSenseiGuy,8795,7
-ThatSenseiGuy,37578,7
-ThatSenseiGuy,33091,5
-ThatSenseiGuy,35330,6
-ThatSenseiGuy,30240,7
-ThatSenseiGuy,13601,7
-ThatSenseiGuy,23281,6
-ThatSenseiGuy,21339,6
-ThatSenseiGuy,18413,5
-ThatSenseiGuy,34561,6
-ThatSenseiGuy,31240,6
189845783458,48,3
189845783458,47,8
189845783458,1686,8
189845783458,834,7
189845783458,59,4
189845783458,1,9
189845783458,5,9
189845783458,1535,9
189845783458,790,7
189845783458,227,9
189845783458,120,7
189845783458,71,8
189845783458,73,9
189845783458,1015,8
189845783458,72,7
189845783458,121,8
189845783458,430,8
189845783458,43,8
189845783458,468,9
189845783458,270,7
